parcel_id,city,property_type_clean,last_sale_price,last_sale_date,square_feet,bedrooms,bathrooms,baths_full,baths_half,year_built,property_age,lot_size_acres,lot_size_sqft,total_rooms,property_type_encoded,property_type_target_encoded,location_median_price,location_price_per_sqft,location_sales_volume,location_level,neighborhood_median_price,neighborhood_price_per_sqft,has_neighborhood,zip_median_price,zip_price_per_sqft,zip_sales_volume,city_median_price,city_prestige_index,dist_to_train_station,dist_to_water,dist_to_downtown,dist_to_highway,assessment_total,assessment_land,assessment_building,appraised_total,appraised_land,appraised_building,assessment_to_appraisal_ratio,price_per_sqft_estimate,bedroom_to_sqft_ratio,land_to_building_ratio,effective_age
50-014-00,Darien,SingleFamily,1900000.0,2024-09-17,3467.0,4.0,2.5,2.0,1.0,1926.0,99.0,0.64,27878.0,10.0,1,695000.0,1600000.0,654.3967280163599,139,1,1600000.0,654.3967280163599,1,2050000.0,620.0846944948578,495,2065000.0,1.85,1.5675229042700458,4.040479274805627,5.0,0.8428403201136803,1098720.0,759430.0,339290.0,1569600.0,1084900.0,484700.0,0.7,548.0242284395731,0.0011537352177675222,2.238291726841345,99.0
44-052-00,Darien,SingleFamily,1269000.0,2024-09-17,2242.0,3.0,2.5,2.0,1.0,1900.0,125.0,0.25,10890.0,6.0,1,695000.0,1600000.0,654.3967280163599,139,1,1600000.0,654.3967280163599,1,2050000.0,620.0846944948578,495,2065000.0,1.85,1.386935738604976,4.652087557098973,5.0,0.4337638575769631,720930.0,386190.0,334740.0,1029900.0,551700.0,478200.0,0.7,566.0124888492418,0.0013380909901873326,1.1537013801756588,125.0
67-088-00,Darien,SingleFamily,5300000.0,2024-09-17,4807.0,4.0,4.0,3.0,2.0,1905.0,120.0,1.16,50529.0,9.0,1,695000.0,2217000.0,572.2767165720186,158,2,900000.0,387.8748370273794,0,2050000.0,620.0846944948578,495,2065000.0,1.85,1.3138822424662662,4.420162579068744,5.0,2.3397894156310883,3342780.0,2027760.0,1315020.0,4775400.0,2896800.0,1878600.0,0.7,1102.5587684626587,0.0008321198252548367,1.5419993612264453,120.0
52-091-00,Darien,SingleFamily,3415000.0,2024-09-17,3680.0,4.0,3.5,3.0,1.0,1926.0,99.0,0.4,17424.0,9.0,1,695000.0,2675000.0,734.0834248079034,65,1,2675000.0,734.0834248079034,1,2050000.0,620.0846944948578,495,2065000.0,1.85,1.9556961348494895,3.9379658747594846,5.0,0.3242279109038293,1565760.0,929880.0,635880.0,2236800.0,1328400.0,908400.0,0.7,927.9891304347826,0.0010869565217391304,1.4623513870541611,99.0
44-0OS-00,Darien,SingleFamily,1269000.0,2024-09-17,2242.0,3.0,2.5,2.0,1.0,1900.0,125.0,0.25,10890.0,6.0,1,695000.0,1600000.0,654.3967280163599,139,1,1600000.0,654.3967280163599,1,2050000.0,620.0846944948578,495,2065000.0,1.85,1.3947052941155238,4.664673740013271,5.0,0.41670229098187406,720930.0,386190.0,334740.0,1029900.0,551700.0,478200.0,0.7,566.0124888492418,0.0013380909901873326,1.1537013801756588,125.0
33620-05-1677/S,Greenwich,SingleFamily,1800000.0,2024-09-17,1923.0,3.0,2.0,2.0,0.0,1920.0,105.0,0.523,22781.0,7.0,1,695000.0,2842500.0,851.4302830612551,120,1,2842500.0,851.4302830612551,1,2587500.0,809.8591549295775,164,2500000.0,1.75,2.077418904302509,2.715521953803872,2.6293375923567166,4.036028645342071,1134280.0,980210.0,154070.0,1620400.0,1400300.0,220100.0,0.7,936.0374414976599,0.0015600624024961,6.36210813266697,105.0
33620-08A-1918,Greenwich,SingleFamily,6800000.0,2024-09-16,8769.0,6.0,9.0,8.0,2.0,1996.0,29.0,4.09,178160.0,17.0,1,695000.0,4200000.0,756.3479200432199,149,2,900000.0,387.8748370273794,0,3025051.0,775.0579041762746,432,2500000.0,1.75,4.253617411031369,6.34625854258352,4.806695094179257,4.851797066576324,3786790.0,763770.0,3023020.0,5409700.0,1091100.0,4318600.0,0.7,775.4590033071046,0.0006842285323297981,0.25265132218774605,29.0
33620-01-1392/S,Greenwich,SingleFamily,4350000.0,2024-09-16,5243.0,5.0,5.5,5.0,1.0,2021.0,4.0,0.363,15812.0,11.0,1,695000.0,1807500.0,731.7813765182186,140,1,1807500.0,731.7813765182186,1,3025051.0,775.0579041762746,432,2500000.0,1.75,1.1688178474728224,2.491261773661954,1.0051352544301642,5.685905895760612,2234260.0,747530.0,1486730.0,3191800.0,1067900.0,2123900.0,0.7,829.6776654587069,0.0009536524890329964,0.502801450162437,4.0
33620-08-2289/S,Greenwich,SingleFamily,2450000.0,2024-09-16,2964.0,3.0,2.5,2.0,1.0,2012.0,13.0,0.41,17859.0,8.0,1,695000.0,1807500.0,731.7813765182186,140,1,1807500.0,731.7813765182186,1,3025051.0,775.0579041762746,432,2500000.0,1.75,1.3224866439096614,2.1341473796880877,1.3589999484854942,5.139917818972606,1276660.0,644980.0,631680.0,1823800.0,921400.0,902400.0,0.7,826.5856950067476,0.0010121457489878543,1.021054964539007,13.0
29-082-00,Darien,SingleFamily,3397000.0,2024-09-16,5010.0,5.0,4.5,4.0,1.0,1950.0,75.0,0.69,30056.0,9.0,1,695000.0,2217000.0,572.2767165720186,158,2,900000.0,387.8748370273794,0,2050000.0,620.0846944948578,495,2065000.0,1.85,2.0021055820820632,5.634865581331219,5.0,0.3768682363968878,1832180.0,690480.0,1141700.0,2617400.0,986400.0,1631000.0,0.7,678.0439121756488,0.000998003992015968,0.6047823421213979,75.0
33620-12-1097/S,Greenwich,SingleFamily,1252286.0,2024-09-16,1411.0,4.0,1.5,1.0,1.0,1948.0,77.0,0.201,8755.0,6.0,1,695000.0,1995000.0,598.9192434704293,119,2,900000.0,387.8748370273794,0,2517900.0,805.083932853717,164,2500000.0,1.75,1.4769410722057241,3.517868837963327,3.4862533137662934,3.4856092993123866,563710.0,470120.0,93590.0,805300.0,671600.0,133700.0,0.7,887.516654854713,0.002834868887313962,5.023186237845923,77.0
20-111-00,Darien,MultiFamily_2-4,3100000.0,2024-09-16,4804.0,6.0,6.5,4.0,5.0,1928.0,97.0,0.23,10018.0,12.0,4,538750.0,1600000.0,654.3967280163599,139,1,1600000.0,654.3967280163599,1,2050000.0,620.0846944948578,495,2065000.0,1.85,0.9958743959551658,5.139801926352227,5.0,0.6207409235599926,1602020.0,395640.0,1206380.0,2288600.0,565200.0,1723400.0,0.7,645.2955870108243,0.0012489592006661116,0.32795636532435885,97.0
